C1, 2.79, 17.78, 90.00, CL21B105KBFNNNE, CAPC2012X135N
C13, 22.86, 15.24, 180.00, 100NF, C0603
C14, 26.04, 13.84, 180.00, 100NF, C0603
C15, 25.91, 11.30, 0.00, 100NF, C0603
C16, 25.78, 17.27, 0.00, 10UF, C1206
C17, 22.23, 18.41, 90.00, 100NF, C0603
C18, 20.07, 16.26, 90.00, 100NF, C0603
C19, 16.89, 15.75, 270.00, 100NF, C0603
C2, 9.53, 19.30, 90.00, CL21B105KBFNNNE, CAPC2012X135N
C20, 26.04, 9.14, 180.00, 100NF, C0603
C21, 13.97, 3.81, 90.00, 100NF, C0603
C22, 12.19, 7.49, 0.00, 100NF, C0603
C23, 12.70, 11.81, 270.00, 100NF, C0603
C24, 12.83, 16.26, 90.00, 10UF, C1206
C25, 11.68, 3.81, 270.00, 10UF, C1206
C3, 16.38, 22.73, 90.00, 20PF, C0603
C4, 24.13, 22.86, 270.00, 20PF, C0603
C5, 44.20, 25.65, 0.00, CL21B105KBFNNNE, CAPC2012X135N
C6, 41.02, 25.65, 0.00, CL21B105KBFNNNE, CAPC2012X135N
C7, 24.64, 3.43, 180.00, 100NF, C0603
IC1, 41.91, 22.86, 180.00, XC6206P332MR, SOT95P280X130-3N
IC2, 19.05, 8.89, 0.00, FT232HL, QFP50P900X900X160-48N
IC4, 33.02, 24.13, 0.00, 93LC56B-I_SN, SOIC127P600X175-8N
IC5, 6.35, 17.78, 0.00, XC6206P332MR, SOT95P280X130-3N
J2, 3.53, 9.02, 270.00, ZX62-B-5PA(33), ZX62B5PA33
L1, 9.78, 5.46, 90.00, LQG15HS18NJ02D, INDC1005X55N
L2, 14.48, 15.88, 270.00, LQG15HS18NJ02D, INDC1005X55N
LED1, 53.34, 19.05, 180.00, LTST-C191KRKT, LEDC1608X55N
LED2, 53.34, 16.51, 180.00, LTST-C191KRKT, LEDC1608X55N
LED3, 49.28, 21.59, 180.00, LTST-C191KRKT, LEDC1608X55N
LED4, 5.97, 22.35, 180.00, LTST-C191KRKT, LEDC1608X55N
R1, 40.77, 19.43, 0.00, 220R, R0603
R10, 37.08, 7.11, 180.00, 10K, R1206
R11, 31.62, 7.49, 180.00, 10K, R1206
R12, 45.97, 7.75, 0.00, 10K, R1206
R2, 45.72, 17.78, 0.00, 220R, R0603
R3, 45.97, 22.10, 270.00, 220R, R0603
R4, 10.79, 15.88, 270.00, 12K @ 1%, R0603
R5, 25.65, 25.91, 180.00, 10K, R1206
R6, 26.16, 21.21, 270.00, 10K, R1206
R7, 35.56, 20.07, 0.00, 10K, R1206
R8, 30.23, 20.07, 0.00, 2K, R1206
R9, 1.78, 22.10, 270.00, 220R, R0603
Y1, 20.32, 22.86, 180.00, X322512MSB4SI, X322512MSB4SI
